alpha,stratum,method,n_test,n_rejected,fdr,power,rejection_rate
0.0500,Atelectasis,stratcp,45,5,0.000000,0.166667,0.111111
0.0500,Cardiomegaly,stratcp,49,10,0.000000,0.526316,0.204082
0.0500,Consolidation,stratcp,21,5,0.000000,0.555556,0.238095
0.0500,Edema,stratcp,15,1,0.000000,0.200000,0.066667
0.0500,Enlarged Cardiomediastinum,stratcp,32,2,0.000000,0.125000,0.062500
0.0500,Fracture,stratcp,13,4,0.250000,0.375000,0.307692
0.0500,Lung Lesion,stratcp,6,1,0.000000,0.333333,0.166667
0.0500,Lung Opacity,stratcp,20,4,0.000000,0.500000,0.200000
0.0500,No Finding,stratcp,297,52,0.211538,0.854167,0.175084
0.0500,Other,stratcp,288,43,0.325581,0.362500,0.149306
0.0500,Pleural Effusion,stratcp,19,3,0.333333,0.250000,0.157895
0.0500,Pneumonia,stratcp,35,12,0.416667,0.388889,0.342857
0.0500,Pneumothorax,stratcp,14,3,0.000000,0.750000,0.214286
0.0500,Support Devices,stratcp,46,32,0.000000,0.888889,0.695652
0.0500,__global__,stratcp,900,177,0.180791,0.496575,0.196667
0.1000,Atelectasis,stratcp,45,6,0.000000,0.200000,0.133333
0.1000,Cardiomegaly,stratcp,49,17,0.058824,0.842105,0.346939
0.1000,Consolidation,stratcp,21,7,0.142857,0.666667,0.333333
0.1000,Edema,stratcp,15,3,0.666667,0.200000,0.200000
0.1000,Enlarged Cardiomediastinum,stratcp,32,4,0.000000,0.250000,0.125000
0.1000,Fracture,stratcp,13,6,0.166667,0.625000,0.461538
0.1000,Lung Lesion,stratcp,6,1,0.000000,0.333333,0.166667
0.1000,Lung Opacity,stratcp,20,5,0.200000,0.500000,0.250000
0.1000,No Finding,stratcp,297,70,0.414286,0.854167,0.235690
0.1000,Other,stratcp,288,76,0.368421,0.600000,0.263889
0.1000,Pleural Effusion,stratcp,19,7,0.142857,0.750000,0.368421
0.1000,Pneumonia,stratcp,35,15,0.400000,0.500000,0.428571
0.1000,Pneumothorax,stratcp,14,3,0.000000,0.750000,0.214286
0.1000,Support Devices,stratcp,46,32,0.000000,0.888889,0.695652
0.1000,__global__,stratcp,900,252,0.277778,0.623288,0.280000
0.1500,Atelectasis,stratcp,45,7,0.000000,0.233333,0.155556
0.1500,Cardiomegaly,stratcp,49,20,0.150000,0.894737,0.408163
0.1500,Consolidation,stratcp,21,9,0.222222,0.777778,0.428571
0.1500,Edema,stratcp,15,3,0.666667,0.200000,0.200000
0.1500,Enlarged Cardiomediastinum,stratcp,32,4,0.000000,0.250000,0.125000
0.1500,Fracture,stratcp,13,7,0.142857,0.750000,0.538462
0.1500,Lung Lesion,stratcp,6,1,0.000000,0.333333,0.166667
0.1500,Lung Opacity,stratcp,20,5,0.200000,0.500000,0.250000
0.1500,No Finding,stratcp,297,90,0.533333,0.875000,0.303030
0.1500,Other,stratcp,288,87,0.436782,0.612500,0.302083
0.1500,Pleural Effusion,stratcp,19,7,0.142857,0.750000,0.368421
0.1500,Pneumonia,stratcp,35,18,0.444444,0.555556,0.514286
0.1500,Pneumothorax,stratcp,14,3,0.000000,0.750000,0.214286
0.1500,Support Devices,stratcp,46,32,0.000000,0.888889,0.695652
0.1500,__global__,stratcp,900,293,0.354949,0.647260,0.325556
0.2000,Atelectasis,stratcp,45,8,0.000000,0.266667,0.177778
0.2000,Cardiomegaly,stratcp,49,23,0.217391,0.947368,0.469388
0.2000,Consolidation,stratcp,21,10,0.200000,0.888889,0.476190
0.2000,Edema,stratcp,15,4,0.750000,0.200000,0.266667
0.2000,Enlarged Cardiomediastinum,stratcp,32,4,0.000000,0.250000,0.125000
0.2000,Fracture,stratcp,13,7,0.142857,0.750000,0.538462
0.2000,Lung Lesion,stratcp,6,3,0.000000,1.000000,0.500000
0.2000,Lung Opacity,stratcp,20,5,0.200000,0.500000,0.250000
0.2000,No Finding,stratcp,297,109,0.587156,0.937500,0.367003
0.2000,Other,stratcp,288,97,0.484536,0.625000,0.336806
0.2000,Pleural Effusion,stratcp,19,9,0.222222,0.875000,0.473684
0.2000,Pneumonia,stratcp,35,18,0.444444,0.555556,0.514286
0.2000,Pneumothorax,stratcp,14,3,0.000000,0.750000,0.214286
0.2000,Support Devices,stratcp,46,32,0.000000,0.888889,0.695652
0.2000,__global__,stratcp,900,332,0.400602,0.681507,0.368889
