alpha,method,n_total,n_green,fdr,power,coverage_green_frac,fdr_le_alpha,n_contradicted_gate_post,n_supported_trusted_gate_post,n_review_required_gate_post,n_supported_uncertified_gate_post
0.05,inverted_cfbh,1784,113,0.008849557522123894,0.09333333333333334,0.0633408071748879,True,209,0,1462,113
0.05,stratcp,900,177,0.1807909604519774,0.4965753424657534,177.0,False,,,,
0.05,forward_cfbh,900,0,0.0,0.0,0.0,True,,,,
0.1,inverted_cfbh,1784,199,0.005025125628140704,0.165,0.11154708520179372,True,209,0,1376,199
0.1,stratcp,900,252,0.2777777777777778,0.6232876712328768,252.0,False,,,,
0.1,forward_cfbh,900,0,0.0,0.0,0.0,True,,,,
0.15,inverted_cfbh,1784,201,0.004975124378109453,0.16666666666666666,0.11266816143497758,True,209,0,1374,201
0.15,stratcp,900,293,0.35494880546075086,0.6472602739726028,293.0,False,,,,
0.15,forward_cfbh,900,0,0.0,0.0,0.0,True,,,,
0.2,inverted_cfbh,1784,378,0.03439153439153439,0.30416666666666664,0.21188340807174888,True,209,0,1197,378
0.2,stratcp,900,332,0.4006024096385542,0.6815068493150684,332.0,False,,,,
0.2,forward_cfbh,900,0,0.0,0.0,0.0,True,,,,
